Title,Company,Rating,Reviews,Experience,Salary,Location,Job_Description,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Posted_On,Category,Exp_Min_Years,Salary_Mid_LPA,City
Oracle Adf Developer,Sutherland,3.7,5826  Reviews,5-10 Yrs,Not disclosed,Hybrid - Hyderabad,Minimum of 7 years hands-on technical experience in implementing and supporting custom ...,Oracle ADF,java,JDeveloper,Oracle,Development,,,,18 Days Ago,Engineering_Software_QA,5.0,,Hyderabad
Automation with C#,Tech Mahindra,3.7,27764  Reviews,4-9 Yrs,Not disclosed,Hybrid - Hyderabad,"Greetings from Tech Mahindra!With reference to your profile on Naukri portal, we are c...",C#,Automation,Selenium,,,,,,18 Days Ago,Engineering_Software_QA,4.0,,Hyderabad
Api Automation Tester,Coforge,3.5,3957  Reviews,5-9 Yrs,Not disclosed,Hybrid - Bangalore Rural,Experience: 5 to 9 years . Notice Period: Immediate Joiners to 25 days only Role: API A...,API Testing,Postman,Api Automation,Rest Assured,API Tester,Postman Api,Rest Api Testing,Postman Tool,18 Days Ago,Engineering_Software_QA,5.0,,Bangalore Rural
Avionics Technical Manager,Tata Elxsi,4.0,1647  Reviews,12-16 Yrs,20-30 Lacs PA,"Hybrid - Bengaluru, Thiruvananthapuram",Qualifications and Education Requirements:BE / B. Tech / MSc / ME / M. Techin Avionics...,DO-178C,People management,DO254,flight control,flight management,Management,Flight,Avionics,28 Days Ago,Engineering_Software_QA,12.0,25.0,Bengaluru
Interviewing Today - Golang Developer - Urgent Hiring - Bangalore,Accion Labs,3.7,357  Reviews,6-11 Yrs,Not disclosed,Bengaluru(Whitefield),Key skills Golang Aws Cloud Docker OR kubernets Concurrency Go Routines RestFull,Concurrency Programming,Java,Aws Cloud,Go lang,Kubernetes,GO Routines,Docker,Restfull,3 Days Ago,Engineering_Software_QA,6.0,,Bengaluru(Whitefield)
Software Engineer III /DevOps Senior Engineer,NCR Corporation,4.1,1323  Reviews,7-10 Yrs,Not disclosed,Hyderabad,Job DescriptionJob Description:We are looking for talented engineers to join our expan...,Apm Tools,Jenkins,Azure,Devops,Kubernetes,SRE,Software,III,26 Days Ago,Engineering_Software_QA,7.0,,Hyderabad
Opportunity For Java Leads/Architects,Saviynt,2.9,57  Reviews,10-17 Yrs,Not disclosed,Hybrid - Bangalore/ Bengaluru,"10+ yrs of experience in Java/J2ee technologies Hands-on experience of Java/J2EE, cor...",Java,Spring Mvc,J2Ee,Spring,Java Architecture,Hibernate,Design Patterns,Technical Leadership,20 Days Ago,Engineering_Software_QA,10.0,,Bangalore/ Bengaluru
Exciting opening For Java developers,Saviynt,2.9,57  Reviews,3-5 Yrs,Not disclosed,Hybrid - Bangalore/ Bengaluru,"3- 5 years of experience in Java/J2EEHands-on experience with Java based technologies,...",spring,java,Multithreading,hibernate,Collections,Design Concepts,Design Patterns,Javascript,30 Days Ago,Engineering_Software_QA,3.0,,Bangalore/ Bengaluru
Business and Integration Practitioner,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,"6+ years of hands-on experience in Master Data, Data Governance and Data Quality and Mo...",master data,business requirement analysis,data quality,data governance,requirement analysis,project management,sap,data management,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Application Lead,Accenture,4.0,46775  Reviews,5-9 Yrs,Not disclosed,Bengaluru,Minimum 5 year(s) of experience is required. Educational Qualification : Must have mini...,dbms,sql,software development life cycle,cobol,database creation,application design,autocad,plsql,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Business Architect,Accenture,4.0,46775  Reviews,12-16 Yrs,Not disclosed,Bengaluru,Minimum 12 year(s) of experience is required. Educational Qualification : As per Compan...,business analysis,integration architecture,blueprint,solution design,business architecture,pega prpc,project management,soa,18 Days Ago,Engineering_Software_QA,12.0,,Bengaluru
Application Lead,Accenture,4.0,46775  Reviews,3-7 Yrs,Not disclosed,Bengaluru,Minimum 3 year(s) of experience is required. Educational Qualification : 15 Year of min...,software development,software development life cycle,flutter,oops,software engineering,c#,oracle,android,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Quality Engineer (Tester),Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,Minimum 5 year(s) of experience is required. Educational Qualification : GraduationExpe...,software development,informatica data quality,software testing,testing methodologies,informatica,informatica powercenter,datastage,talend,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Lead,Accenture,4.0,46775  Reviews,5-9 Yrs,Not disclosed,Hyderabad,Minimum 5 year(s) of experience is required. Educational Qualification : Should be grad...,microsoft dynamics,business requirement analysis,supply chain management,software engineering,retail supply chain,oracle,forecasting,logistics,18 Days Ago,Engineering_Software_QA,5.0,,Hyderabad
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Hyderabad,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years of fu...,rest,net mvc,sql server,react.js,asp,web application,version control,unit testing,18 Days Ago,Engineering_Software_QA,3.0,,Hyderabad
Application Developer,Accenture,4.0,46775  Reviews,2-4 Yrs,Not disclosed,Bengaluru,"Project Role Description : Design, build and configure applications to meet business pr...",rest,mulesoft anypoint,mulesoft anypoint platform,api,agile,web services,version control,javascript,18 Days Ago,Engineering_Software_QA,2.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,Minimum 3 year(s) of experience is required. Educational Qualification : Any Graduation...,svn,software development life cycle,git,.net,agile methodology,oracle,version control,microsoft asp.net,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Application Lead,Accenture,4.0,46775  Reviews,7-11 Yrs,Not disclosed,Bengaluru,"Project Role :Application LeadProject Role Description :Lead the effort to design, buil...",information technology,ms sql server administration,data warehousing,database design,ssis,schema,oracle,performance tuning,18 Days Ago,Engineering_Software_QA,7.0,,Bengaluru
Application Lead,Accenture,4.0,46775  Reviews,7-11 Yrs,Not disclosed,Hyderabad,"Project Role :Application LeadProject Role Description :Lead the effort to design, buil...",dynamics crm development,ms dynamics crm,microsoft dynamics,microsoft dynamics crm technical,data visualization,c#,asp.net mvc,plugins,18 Days Ago,Engineering_Software_QA,7.0,,Hyderabad
Application Lead,Accenture,4.0,46775  Reviews,5-9 Yrs,Not disclosed,Bengaluru,"Project Role :Application LeadProject Role Description :Lead the effort to design, buil...",sql,ibm datastage,software development,scrum,agile,data warehousing,dbms,autocad,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,Educational Qualification:A bachelors degree in computer science software engineering o...,warehouse management,sql service broker,json,wms,documentation,tfs,ado.net,jquery,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Project Role Description : Design, build and configure applications to meet business pr...",sap,distribution,sap presales,material management,troubleshooting,sap sd,business analysis,presales,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,15-17 Yrs,Not disclosed,Bengaluru,Minimum 15 year(s) of experience is required. Educational Qualification : Graduation mi...,project management,software development life cycle,project / program management,waterfall,agile,trello,rest,python,18 Days Ago,Engineering_Software_QA,15.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Hyderabad,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",information technology,distribution,sap presales,sap financial accounting,troubleshooting,fico,sap,solution development,18 Days Ago,Engineering_Software_QA,3.0,,Hyderabad
Application Developer,Accenture,4.0,46775  Reviews,2-6 Yrs,Not disclosed,Bengaluru,"Project Role Description : Design, build and configure applications to meet business pr...",software development,ms dynamics crm,microsoft dynamics,microsoft dynamics crm technical,crm,c#,web services,software testing,18 Days Ago,Engineering_Software_QA,2.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,Minimum 5 year(s) of experience is required. Educational Qualification : GraduationQual...,rest,software development,react native,javascript,flutter,redux,css,bootstrap,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,2-4 Yrs,Not disclosed,Bengaluru,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",information technology,talend,ibm datastage,software development methodologies,data integration,python,oracle,datastage,18 Days Ago,Engineering_Software_QA,2.0,,Bengaluru
Quality Engineer (Tester),Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Participates in code reviews, monitors, and reports defects to support continuous impro...",software testing,manual testing,quality engineering,selenium,quality testing,quality control,production,test management,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Hyderabad,Must have skills : Pega Platform. Good to have skills : Pega ArchitectureMinimum 5 year...,pega platform,user interfaces,troubleshooting,pega,agile,pega prpc,css,project management,18 Days Ago,Engineering_Software_QA,5.0,,Hyderabad
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Hyderabad,"Project Role Description : Design, build and configure applications to meet business pr...",hibernate,java standard edition,spring,java,j2ee,css,web services,jsp,18 Days Ago,Engineering_Software_QA,3.0,,Hyderabad
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Hyderabad,Minimum 5 year(s) of experience is required. Educational Qualification : GraduateQualif...,sap,distribution,sap presales,material management,production planning,sap sd,business analysis,presales,18 Days Ago,Engineering_Software_QA,5.0,,Hyderabad
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Good To Have Skills:Experience in SAP Fiori, SAP HANA, and SAP UIExperience in designin...",information technology,abap programming,sap abap development,sapui5,sap abap,sap,software development,performance tuning,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,Minimum 3 year(s) of experience is required. Educational Qualification : GraduateQualif...,neoload,application development,functional test planning,angular,software engineering,oracle,regression testing,manual testing,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Application Lead,Accenture,4.0,46775  Reviews,5-9 Yrs,Not disclosed,Bengaluru,"Project Role :Application LeadProject Role Description :Lead the effort to design, buil...",hibernate,java,spring mvc,spring boot,agile,jee,apache tomcat,sql,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,2-4 Yrs,Not disclosed,Bengaluru,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",software testing,software development life cycle,git,selenium,testing methodologies,python,version control,unit testing,18 Days Ago,Engineering_Software_QA,2.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,"Coimbatore, Bengaluru","Technical Experience :a:Must have skills in Core Java, Spring Boot b:Good to have Objec...",dbms,microservices,spring,java,spring boot,css,web services,jsp,18 Days Ago,Engineering_Software_QA,3.0,,Coimbatore
Technology Delivery Lead,Accenture,4.0,46775  Reviews,12-16 Yrs,Not disclosed,Hyderabad,Project Role :Technology Delivery LeadProject Role Description :Manages the delivery of...,sap hybris,waterfall,sap hybris commerce,project management,agile,hybris,web services,impex,18 Days Ago,Engineering_Software_QA,12.0,,Hyderabad
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,Minimum 3 year(s) of experience is required. Educational Qualification : Min 15 years f...,information technology,javascript,node,sap abap development,sapui5,sap,performance tuning,bapis,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Software Development Engineer,Accenture,4.0,46775  Reviews,2-4 Yrs,Not disclosed,Bengaluru,"Project Role :Software Development EngineerProject Role Description :Analyze, design, c...",microsoft power bi,data analysis,sql,database management,etl,c#,rest,python,18 Days Ago,Engineering_Software_QA,2.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Hyderabad,Minimum 5 year(s) of experience is required. Educational Qualification : Minimum 15 yea...,dynamics crm development,microsoft dynamics,data modeling,microsoft dynamics crm technical,crm,c#,web services,ms dynamics crm,18 Days Ago,Engineering_Software_QA,5.0,,Hyderabad
Application Developer,Accenture,4.0,46775  Reviews,2-4 Yrs,Not disclosed,Bengaluru,Minimum 2 year(s) of experience is required. Educational Qualification : BE or B Tech o...,software development,net mvc,sql server,javascript,asp,css,version control,svn,18 Days Ago,Engineering_Software_QA,2.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,10-12 Yrs,Not disclosed,Bengaluru,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",cc,oracle,ssi,presentation skills,technical architecture,project management,software testing,fuel,18 Days Ago,Engineering_Software_QA,10.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",sap,vue.js,svn,javascript,git,c#,css,version control,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Software Development Engineer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,Must have skills : Databricks Unified Data Analytics Platform. Good to have skills : NA...,spark programming,spark,hadoop,big data,data analytics,hive,data mining,hibernate,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,"Project Role Description : Design, build and configure applications to meet business pr...",team management,javascript,technical architecture,data modeling,microsoft dynamics crm technical,c#,ms dynamics crm,sql server,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Hyderabad,"Project Role Description : Design, build and configure applications to meet business pr...",python,data analytics,scala,microsoft azure,sql,c#,oracle,javascript,18 Days Ago,Engineering_Software_QA,5.0,,Hyderabad
Application Developer,Accenture,4.0,46775  Reviews,12-14 Yrs,Not disclosed,Hyderabad,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",sap,unit testing,distribution,sap presales,production planning,project management,sap sd,business analysis,18 Days Ago,Engineering_Software_QA,12.0,,Hyderabad
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Project Role Description : Design, build and configure applications to meet business pr...",information technology,sql,plsql,software development life cycle,oracle procedural language,oracle,version control,oracle forms,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Lead,Accenture,4.0,46775  Reviews,5-9 Yrs,Not disclosed,Bengaluru,"Project Role :Application LeadProject Role Description :Lead the effort to design, buil...",hana architecture,performance tuning,sap bw,sap abap,hana data modeling,sap project management,sap,sap implementation,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Quality Engineer (Tester),Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Participates in code reviews, monitors, and reports defects to support continuous impro...",software testing,soap ui,selenium,testing methodologies,testng,load runner,junit,automation testing,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Lead,Accenture,4.0,46775  Reviews,12-16 Yrs,Not disclosed,"Indore, Ahmedabad, Chennai","Project Role :Application LeadProject Role Description :Lead the effort to design, buil...",wm,sap mm,sap warehouse management,sap inventory management,inventory management,sap,application development,sql,18 Days Ago,Engineering_Software_QA,12.0,,Indore
Application Lead,Accenture,4.0,46775  Reviews,3-7 Yrs,Not disclosed,Bengaluru,Professional & Technical Skills: Must To Have Skills:Strong experience in Pega Platform...,platform development,pega platform,sql,debugging,pega,pega prpc,ccsa,project management,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",software development,java development,java,design patterns,scrum,rest,web services,svn,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,"Design and develop user interfaces for web and mobile applications, ensuring a seamless...",adobe creative suite,ux design,ux,invision,design principles,css,web services,wireframing,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,7-9 Yrs,Not disclosed,Bengaluru,"Experience with database technologies such as MySQL, Oracle, and MongoDBProfessional & ...",software development life cycle,java,waterfall,full stack,mongodb,project management,oracle,version control,18 Days Ago,Engineering_Software_QA,7.0,,Bengaluru
Business Architect,Accenture,4.0,46775  Reviews,15-19 Yrs,Not disclosed,Bengaluru,Project Role :Business ArchitectProject Role Description :Define opportunities to creat...,business process modeling,business process design,business requirement analysis,business process improvement,business architecture,pega prpc,project management,documentation,18 Days Ago,Engineering_Software_QA,15.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Project Role Description : Design, build and configure applications to meet business pr...",c++,linux,oops,multithreading,agile,python,software development,networking,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Software Development Engineer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,"Project Role :Software Development EngineerProject Role Description :Analyze, design, c...",software development,distribution,sap presales,java,sap quality management,sap project management,sap,sap sd,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Hyderabad,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",react.js,java,html,javascript,aws,css,web services,ui development,18 Days Ago,Engineering_Software_QA,3.0,,Hyderabad
Quality Engineer (Tester),Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,Project Role :Quality Engineer (Tester)Project Role Description :Enables full stack sol...,software testing,performance testing,selenium,security testing,testing methodologies,load runner,automation testing,defect tracking,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",information technology,sql scripting,sap bw,data warehousing concepts,hana data modeling,sap bobj,performance tuning,unit testing,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Hyderabad,Experience in developing and maintaining technical documentationMust have skills : SAP ...,sap,integrated business planning,software development life cycle,ibp,sdlc,sap business planning and consolidation,application development,business requirement analysis,18 Days Ago,Engineering_Software_QA,3.0,,Hyderabad
Application Developer,Accenture,4.0,46775  Reviews,7-9 Yrs,Not disclosed,Bengaluru,"Project Role Description : Design, build and configure applications to meet business pr...",rest,microservices,software development life cycle,light weight architecture,agile methodology,kubernetes,python,microsoft azure,18 Days Ago,Engineering_Software_QA,7.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",software development,kotlin,java,android architecture,android application development,rest,web services,mvp,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,7-9 Yrs,Not disclosed,Hyderabad,Minimum 5 year(s) of experience is required. Educational Qualification : Minimum 15 yea...,sap fi,accounting operations,accounts payable ap,sap fico,asset accounting,fico,accounts receivable,sap,18 Days Ago,Engineering_Software_QA,7.0,,Hyderabad
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",software development,kotlin,java,android architecture,android application development,rest,web services,mvp,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Data Architect,Accenture,4.0,46775  Reviews,5-9 Yrs,Not disclosed,Bengaluru,"Model and design the application data structure, storage and integration. Must have ski...",information technology,database design,data modeling,design principles,sap businessobjects,oracle,data warehousing,data architecture,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,2-4 Yrs,Not disclosed,Bengaluru,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",sap,cloud pubsub,sap popi,pi,api,unit testing,application development,sap s hana,18 Days Ago,Engineering_Software_QA,2.0,,Bengaluru
AI / ML Engineer,Accenture,4.0,46775  Reviews,10-12 Yrs,Not disclosed,Bengaluru,Must have skills : Accenture Delivery Architectures (ADA). Good to have skills : NAProf...,rasa,ui technologies,aws cloud,devops,html,mean stack,amazon lex,artificial intelligence,18 Days Ago,Engineering_Software_QA,10.0,,Bengaluru
Application Lead,Accenture,4.0,46775  Reviews,5-9 Yrs,Not disclosed,Hyderabad,Experience in providing technical guidance and mentorship to junior team membersMinimum...,uft,worksoft certify,application development,software development life cycle,agile methodology,oracle,software testing,automation testing,18 Days Ago,Engineering_Software_QA,5.0,,Hyderabad
Application Lead,Accenture,4.0,46775  Reviews,7-9 Yrs,Not disclosed,Hyderabad,Minimum 5 year(s) of experience is required. Educational Qualification : any Graduation...,sap master data,software development,mdg,sap master data governance,agile methodology,sap,software testing,sap sd,18 Days Ago,Engineering_Software_QA,7.0,,Hyderabad
Application Lead,Accenture,4.0,46775  Reviews,5-9 Yrs,Not disclosed,Bengaluru,"Project Role Description : Lead the effort to design, build and configure applications,...",solution architecting,docker,hci,application performance tuning,container orchestration,kubernetes,c++,iot,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Hyderabad,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",software development,oracle,javascript,java,full stack,rest,css,python,18 Days Ago,Engineering_Software_QA,3.0,,Hyderabad
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,Minimum 3 year(s) of experience is required. Educational Qualification : Minimum 15 yea...,data services,microsoft azure,sql server,application development,software development life cycle,c#,python,software testing,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Quality Engineer (Tester),Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,"Participates in code reviews, monitors, and reports defects to support continuous impro...",python,software testing,automation testing,testing methodologies,agile,appium,quality control,test management,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Software Development Engineer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Perform maintenance, enhancements and / or development work. Must have skills : Apple i...",software development,apple ios application development,ios,design patterns,swift,rest,c++,css,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,"Project Role Description : Design, build and configure applications to meet business pr...",visualforce,unit testing,apex,sales force development,software engineering,c#,rest,css,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Quality Engineer (Tester),Accenture,4.0,46775  Reviews,7-9 Yrs,Not disclosed,Bengaluru,"Participates in code reviews, monitors, and reports defects to support continuous impro...",performance testing,gatling,jmeter,software development life cycle,agile methodology,load runner,software testing,quality control,18 Days Ago,Engineering_Software_QA,7.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,Minimum 3 year(s) of experience is required. Educational Qualification : Must complete ...,software development,application development,ibm cognos,ibm cognos tm1,sdlc,metadata,python,oracle,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Quality Engineer (Tester),Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,Project Role :Quality Engineer (Tester)Project Role Description :Enables full stack sol...,software testing,performance testing,automation tools,salesforce testing,testing methodologies,quality control,automation testing,test cases,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Experience with Apex, Visualforce, and Lightning Web ComponentsExperience with Salesfor...",software development,salesforce sales cloud,data modeling,cloud architecture,salesforce service cloud,visualforce,salesforce community cloud,saas sales,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",software testing,vue.js,angular,web development,agile software development,c#,css,javascript,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Application Lead,Accenture,4.0,46775  Reviews,5-9 Yrs,Not disclosed,Bengaluru,Educational Qualification:1 15 years of full time educationAdditional Info :Work will b...,sap,sap retail,retail,ops,retail business,sap upgrade,retail operations,sap configuration,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Quality Engineer (Tester),Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Bengaluru,"Participates in code reviews, monitors, and reports defects to support continuous impro...",software testing,automation testing,selenium,testing methodologies,agile,python,quality control,test cases,18 Days Ago,Engineering_Software_QA,3.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,7-9 Yrs,Not disclosed,Bengaluru,Shift B / C timings:11am to 9pm OR 12pm to 10pmMinimum 5 year(s) of experience is requi...,sap abap hana,sap abap development,bapi,sap hana,dialog programming,data conversion,sap,web services,18 Days Ago,Engineering_Software_QA,7.0,,Bengaluru
Software Development Lead,Accenture,4.0,46775  Reviews,2-6 Yrs,Not disclosed,"Chennai, Gurugram","Apply knowledge of technologies, applications, methodologies, processes and tools to su...",software testing,java,full stack,software development methodologies,debugging,c++,python,css,18 Days Ago,Engineering_Software_QA,2.0,,Chennai
Application Developer,Accenture,4.0,46775  Reviews,12-14 Yrs,Not disclosed,Bengaluru,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",oracle,information technology,sql,plsql,ebs,manual testing,oracle e-business suite,payables,18 Days Ago,Engineering_Software_QA,12.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,7-9 Yrs,Not disclosed,Bengaluru,Minimum 5 year(s) of experience is required. Educational Qualification : Min 15 years f...,information technology,sap abap development,waterfall,core banking,sap abap,sap,business strategy,sap netweaver,18 Days Ago,Engineering_Software_QA,7.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,12-14 Yrs,Not disclosed,Bengaluru,"Project Role Description : Design, build and configure applications to meet business pr...",data warehousing,data modeling,software engineering,big data,data integration,python,big data analytics,scala,18 Days Ago,Engineering_Software_QA,12.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Project Role Description : Design, build and configure applications to meet business pr...",cc,oracle,sql,software development life cycle,technical architecture,c#,python,css,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",algorithms,pyspark,distribution system,sql,data structures,hive,version control,dbms,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Developer,Accenture,4.0,46775  Reviews,3-5 Yrs,Not disclosed,Hyderabad,Must have skills : Microsoft Dynamics CRM Technical. Good to have skills : NAMinimum 3 ...,ms dynamics crm,ssi,microsoft dynamics crm technical,javascript,application development,css,ms crm dynamics,web services,18 Days Ago,Engineering_Software_QA,3.0,,Hyderabad
Application Developer,Accenture,4.0,46775  Reviews,5-7 Yrs,Not disclosed,Bengaluru,"Experience in designing, developing, and maintaining Oracle EBS Payments applicationsPr...",oracle,payments,oracle financials,ebs,oracle receivables,python,oracle e-business suite,oracle fusion,18 Days Ago,Engineering_Software_QA,5.0,,Bengaluru
Application Support Engineer,Accenture,4.0,46775  Reviews,2-4 Yrs,Not disclosed,Bengaluru,Roles & Responsibilities: 24x7 Rotational shiftsMinimum 2 year(s) of experience is requ...,microsoft power bi,data warehousing,sql,database management,data warehousing concepts,python,oracle,sql server,18 Days Ago,Engineering_Software_QA,2.0,,Bengaluru
